ID,Name,School
1305895,Alex Wright,Virginia Tech
1309165,Amanda Cash,University of Lynchburg
1309165,Amanda Cash,Hollins
1315539,Connor Smith,Loras
1315539,Connor Smith,Grinnell College
1322220,Brooke Williams,California Institute of Technology
1322220,Brooke Williams,King
1322239,Elayna Pistrin,St Francis College Brooklyn (New York)
1325092,Jack Burke,Franklin College
1327319,Grace Hanson,Carleton
1327319,Grace Hanson,University of Missouri
1329745,Haley Robinson,Washington and Lee University
1329908,Luke Johnson,Duke University
1329908,Luke Johnson,Vassar College
1329908,Luke Johnson,U.S. Naval Academy (Navy)
1329908,Luke Johnson,Texas A&M University
1330374,Makayla Seal,CSU-Pueblo
1332223,Stephen Jones,Henderson State University
1334977,Sydney Smith,Massachusetts Institute of Technology
1334977,Sydney Smith,Virginia Military Institute
1334977,Sydney Smith,Xavier University
1334977,Sydney Smith,Wingate University
1335091,Olivia Kim,Bowdoin
1335194,James Moll,Hanover
1337584,Pedro Borin,Augustana College
1337584,Pedro Borin,Augustana College
1340531,Sam White,Colorado Mesa
1340531,Sam White,Xavier University
1340531,Sam White,Bridgewater State University
1341012,Brandon Kim,Rochester
1341012,Brandon Kim,Occidental College
1342438,Tyler Hansen,University of Wisconsin-Eau Claire
1342830,Erin McKinney,Whitman College
1344846,Liam Murray,Southern Indiana
1346309,Jack Smith,Purdue University
1349926,Andrew Taylor,Delaware
1349926,Andrew Taylor,Indiana University of Pennsylvania
1353941,Abigail Greene,Westminster College
1366038,Steven Asmus,Augustana College
1366038,Steven Asmus,Augustana College
1380998,Gabby Miller,Pennsylvania Western-California
1386417,Evan Bell,Augustana College
1386417,Evan Bell,Augustana College
1390321,Alex King,University of Michigan
1390607,Kylie Clark,Salem College
1392232,Alyssa Brown,Colby-Sawyer
1392232,Alyssa Brown,East Stroudsburg
1392241,Hannah Murray,Indiana Wesleyan University
1396724,Madison Smith,Carleton
1396724,Madison Smith,Cedar Crest
1397942,Caleb Whittington,Missouri State University
1397942,Caleb Whittington,Truman State University
1397942,Caleb Whittington,Missouri State University
1400152,Kai West,Southern Virginia University
1406989,Abby Miller,Hartwick College
1406989,Abby Miller,University of Southern California
1426735,Andrew Hanson,Biola University
1426735,Andrew Hanson,Whitman College
1428034,Connor Brown,Denison
1462059,Anna Peshenko,Indiana
1479569,Rachel Gibson,Lebanon Valley
1485552,Jack Moore,Tufts University
1485552,Jack Moore,University of Virginia
1494261,Lindsey Blake,U.S. Coast Guard Academy
1495130,Ethan Brewer,Roanoke College
1495145,Jacob Sampson,University of Evansville
1495145,Jacob Sampson,University of Evansville
1497260,Noah Smith,Florida St
1497260,Noah Smith,Ouachita Baptist University
1497260,Noah Smith,Cincinnati
1505024,Bartlomiej Swiderski,Barton
1505024,Bartlomiej Swiderski,University of Indianapolis
1506610,Anna Hess,"Fairleigh Dickinson University, Madison"
1510349,Kate Anderson,Utica
1518659,Abby Martin,University of Connecticut
1523280,Grace King,Saint Rose
1540789,Mia Destefani,Southern Conn
1540789,Mia Destefani,Keene State College
1547937,Kirsten Lee,Drury
1711787,Jack Hansen,Southwestern University
1711787,Jack Hansen,Indiana Wesleyan University
1718061,Maddie Taylor,University of Wisconsin-Stevens Point
1718061,Maddie Taylor,Millersville
1720121,Molly Devine,Bard
1758413,Caroline Lee,Wells
1758413,Caroline Lee,Georgia Institute of Technology
1759042,Ella Johnson,University of Sioux Falls
1759042,Ella Johnson,Long Island University
1759042,Ella Johnson,Carroll University (WI)
1783242,Matthew Simpson,Boston U
1867536,Morgan Thomas,Susquehanna
1922397,Max Ahumada Valdovinos,Florida Atlantic University
1922397,Max Ahumada Valdovinos,Florida Atlantic University
2038135,Ben Brewer,California Lutheran University
2038135,Ben Brewer,Boston U
2038135,Ben Brewer,University of Tampa
2058272,Katie Dougherty,Rutgers
2058272,Katie Dougherty,Indiana State
2085888,Ben Johnson,Henderson State University
2085888,Ben Johnson,University of Montevallo
2085888,Ben Johnson,Grinnell College
2241355,Megan Donnelly,Bryant University
2241355,Megan Donnelly,Bryant University
2278796,Connor Young,Bridgewater State University
2645330,Ricky Williams,Iowa
2645330,Ricky Williams,Cincinnati
2770330,Nathan Ford,Catholic University
2926048,Nick Allen,Hendrix College
2926048,Nick Allen,Davis and Elkins College
2957326,Caroline Lewis,Sweet Briar College
2957326,Caroline Lewis,Susquehanna
